Done,Exercise,Sets x Reps/Time,Weight,Demo,Notes
,Kyphosis-Focused 3-Day Workout Routine,,,,
,60-75 minutes per session | Superset format with stretches between sets,,,,
,DAY 1: Upper Back & Posterior Chain,,,,
TRUE,Prone YTWs,3 x 12 each,N/A,https://youtu.be/QdGTI4Lshg4?si=VJBW_u0alTqy5b50,
TRUE,,,,,
TRUE,,,,,
TRUE,Seated Cable Rows,3 x 15,100,https://youtube.com/shorts/LyZH4UGdDTc?si=ZlgSvha8tVYYGPVC,
TRUE,,,100,,
TRUE,,,100,,
TRUE,Thoracic extension over foam roll - 45 sec,,,https://youtu.be/gCNmsijJdFY?si=XPXqi300EaQOKqmr&t=15,
TRUE,Deep Neck Flexors (chin tucks),3 x 20 sec,N/A,https://youtu.be/2Afm2uIDNRw?si=7lHWomf4tPBfZfQU&t=65,
TRUE,,,,,
TRUE,,,,,
TRUE,Wall Slides/Wall Angels,3 x 12,N/A,https://youtu.be/ywYi4rBhRBQ?feature=shared&t=23,
TRUE,,,,,
TRUE,,,,,
TRUE,Standing chest opener (hands clasped behind back) - 30 sec,,,https://youtube.com/shorts/2kx8BdPtONY?si=a7ugM734D1Ls0HeQ,
TRUE,Romanian Deadlifts,3 x 12,115,https://youtu.be/TIvKHlZZJGs?si=zd2hI_nRzJ9MSCFO&t=20,
TRUE,,,,,
TRUE,,,,,
TRUE,Standing Calf Raises (2 sec hold),3 x 20,Bodyweight,,
TRUE,,,,,
TRUE,,,,,
TRUE,Standing hamstring stretch - 30 sec each leg,,,https://youtu.be/tJNsKOVTCfo?si=_ON5MJd5bsPyLzzy&t=9,
TRUE,Face Pulls,3 x 15,42.5,Face Pulls Tutorial,
TRUE,,,,,
TRUE,,,,,
TRUE,Single-Leg Calf Raises,3 x 15 each,Bodyweight,,
TRUE,,,,,
TRUE,,,,,
TRUE,Doorway pec stretch - 30 sec each side,,,https://youtube.com/shorts/W1WcacpQ_RM?si=ajV1ymfBZadpBiDc,
TRUE,Reverse Flyes,3 x 12,20,https://youtu.be/xvEkgGUrGPM?si=UKjjTsqPOit3_LXz&t=11,
TRUE,,,15,,
TRUE,,,20,,
TRUE,Brugger's Relief Position Holds,3 x 30 sec,Bodyweight,https://youtu.be/eb5LHGpAJIk?si=q6EwhHuQHFjlYb-P,
TRUE,,,,,
TRUE,,,,,
TRUE,Lat stretch (overhead side bend) - 30 sec each side,,,https://youtu.be/gvje071zBXE?si=oIwdjM5xVwuCzIYt,
TRUE,Farmer's Carries,3 x 40 sec,61.6,,
TRUE,,,,,
TRUE,,,,,
TRUE,Planks (neutral neck - 30-45 sec),45,Bodyweight,,
TRUE,,45,,,
TRUE,,45,,,
TRUE,Neck Extensor Stretch,2 x 30 sec,Bodyweight,https://youtu.be/546qSXZ_ddk?si=LZWUsoj0KWddM86z&t=11,
TRUE,,,,,
,,,,,
,DAY 2: Lower Body & Glute Focus,,,,
TRUE,Goblet Squats (chest up),4 x 15,44,https://youtube.com/shorts/lRYBbchqxtI?si=j7rS8SG4fCjazU4R,
TRUE,,,44,,
TRUE,,,44,,
TRUE,,,,,
TRUE,Walking Lunges,4 x 12 each leg,Bodyweight,https://youtu.be/L8fvypPrzzs?si=faPr8kKlu4lwFfJM,
TRUE,,,,,
TRUE,,,,,
TRUE,,,,,
TRUE,Hip flexor stretch - 30 sec each side,,,https://youtube.com/shorts/ZQXGUfGmgKc?si=kRsaB5pQgh8V4N6s,
TRUE,Bulgarian Split Squats,3 x 12 each leg,20,https://youtu.be/o7yFuIR9XVU?si=6Ic0kR1RLMWNAH6N&t=19,"18"" box"
TRUE,,,20,,
TRUE,,,20,,
TRUE,Lateral Lunges,3 x 10 each side,Bodyweight,https://youtu.be/gwWv7aPcD88?si=VmA4QDD0wYQO0d3r&t=8,
TRUE,,,,,
TRUE,,,,,
TRUE,Upper trap stretch - 30 sec each side,,,https://youtu.be/yho44869qPw?si=1AxItJtvprPgfoL7&t=65,
TRUE,Lying Leg Curls,3 x 12,90,https://youtube.com/shorts/lGNeJsdqJwg?si=NyVwuM5u7Fx6taHY,
TRUE,,,90,,
TRUE,,,90,,
TRUE,Seated Calf Raises (soleus),3 x 20,Bodyweight,,
TRUE,,,,,
TRUE,,,,,
TRUE,Figure-4 stretch - 30 sec each side,,,https://youtu.be/Xb5gHdYtHnk?si=plxyZkHd8mSDW08P&t=29,
TRUE,Hip Abductor Machine,3 x 15,145,Hip Abductor Machine,
TRUE,,,145,,
TRUE,,,145,,
TRUE,Hip Adductor Machine,3 x 15,145,Hip Adductor Machine,
TRUE,,,145,,
TRUE,,,145,,
TRUE,Spinal rotations (seated) - 8 each side,,,https://youtube.com/shorts/bZxRIqJmJOo?si=ybie3Vtw9jGnEJLg,
TRUE,Wall Sit,3 x 60 sec,Bodyweight,,
TRUE,,,,,
TRUE,,,,,
TRUE,Calf Raises on Stairs (full ROM),3 x 15,,https://youtu.be/__qfDhdByMY?si=0C-x54kcMFEsHPu7,
TRUE,,,,,
TRUE,,,,,
,,,,,
,DAY 3: Full Body & Athletic Performance,,,,
TRUE,Inverted Rows (or TRX rows),3 x 12,,https://youtube.com/shorts/mp-50tdOr6s?si=gOnmvaxmH8_ZxvKU,
TRUE,,,,,
TRUE,,,,,
TRUE,Step-Ups (knee drive at top),3 x 12 each leg,,https://youtube.com/shorts/uB6C5ERjrjw?si=WGgnd0vzR4qo-GND,"24"" box"
TRUE,,,,,
TRUE,,,,,
TRUE,Thread the needle - 30 sec each side,,,https://youtube.com/shorts/h6_v-dZGLjY?si=3JpQRzgb5sPSOYfn,
TRUE,Dumbbell Chest Press,3 x 12,35,https://youtube.com/shorts/rk8YayRoTRQ?si=32weU_5Oix_-PHys,
TRUE,,,35,,
TRUE,,,35,,
TRUE,Reverse Lunges,3 x 12 each leg,,https://youtube.com/shorts/b_2qgdXT_QQ?si=vg-BRUztYPHUiYCl,
TRUE,,,,,
TRUE,,,,,
TRUE,Upper trap stretch - 30 sec each side,,,https://youtu.be/-r0eoFS7_5Q?si=I12nyneJsx1FezqX&t=9,
TRUE,Single-Leg Squats to Box,3 x 8 each leg,,https://youtube.com/shorts/UjfJCWo__hk?si=TyvK38qitdOO7MME,"24"" box"
TRUE,,,,,
TRUE,,,,,
TRUE,Calf Raises Single Leg (3 sec eccentric),3 x 12 each leg,,https://youtube.com/shorts/1Xk4k0u_R_o?si=uHXyzVKj8TW2vvYB,
TRUE,,,,,
TRUE,,,,,
TRUE,Hip circles - 8 each direction,,,https://youtube.com/shorts/_kkLyBdQbLs?si=eg8cTx98y0glC502,
TRUE,Cable or Band Rows,3 x 15,57.5,https://youtube.com/shorts/W5CGo5vzbXI?si=M02xMl0c62ZADQus,
TRUE,,,57.5,,
TRUE,,,57.5,,
TRUE,Lateral Raises (light weight),3 x 12,15,https://youtube.com/shorts/U2gMn8GXr2A?si=bx20jik8aYPoNITi,
TRUE,,,,,
TRUE,,,,,
TRUE,Foam roll thoracic extensions - 45 sec,,,https://youtube.com/shorts/j1V-stq6j0g?si=Enz38eT2UNPO0OX-,
TRUE,External Rotations (light weight),3 x 15 each arm,10,https://youtube.com/shorts/JdE0dZLZ-Tc?si=351KMpwsrbI4HEcX,
TRUE,,,10,,
TRUE,,,5,,
TRUE,Band Pull-Aparts (multiple angles),3 x 15,,,
TRUE,,,,,
TRUE,,,,,
TRUE,Pec minor stretch (corner or doorway) - 30 sec,,,https://youtube.com/shorts/W1WcacpQ_RM?si=W9ZpSWsWExhhKxeM,
TRUE,Spinal Extensors (Superman holds),3 x 20 sec,Bodyweight,https://youtu.be/u6URsk0OmTE?si=jqINp5qsSCZ4IQ8I,
TRUE,,,,,
TRUE,,,,,
TRUE,Dead Bugs with Arm Reaches,3 x 8 each side,Bodyweight,https://youtube.com/shorts/DqLL45uk2Tk?si=RfSO4VARGBEBQVTV,
TRUE,,,,,
TRUE,,,,,
TRUE,Standing Thoracic Rotations,3 x 10 each side,Bodyweight,https://youtube.com/shorts/Pa0D-RNO4cQ?si=Wy2LuBPlXM5kzI3U,
TRUE,,,,,
TRUE,,,,,
,Key Reminders,,,,
,Pre-Workout: Foam roll upper back for 2-3 minutes before each session,,,,
,Form First: Focus on perfect form over weight for the first month,,,,
,Progression: Add 5-10% weight when you can complete all reps with excellent form,,,,
,"Kyphosis Focus: Keep neck neutral, emphasize thoracic extension, stretch tight pecs/lats",,,,
,"Injury Prevention: Stop if you feel pain (not muscle fatigue), protect rotator cuff",,,,
,Complementary Work: Pilates (Tuesday) and Yoga (Thursday) enhance this routine,,,,
