Exercise,Sets x Reps/Time,Weight,Notes,Complete,Demo
Kyphosis-Focused 3-Day Workout Routine,,,,,
60-75 minutes per session | Superset format with stretches between sets,,,,,
DAY 1: Upper Back & Posterior Chain,,,,,
Prone YTWs,3 x 12 each,N/A,,TRUE,https://youtu.be/QdGTI4Lshg4?si=VJBW_u0alTqy5b50
Scapular Retraction (band pull-aparts),3 x 15,N/A,yellow band,FALSE,https://youtu.be/3OYSIWaJJk4?si=9_qIp5-lurrXqb1I
Thoracic extension over foam roll - 45 sec,,,,FALSE,
Deep Neck Flexors (chin tucks),3 x 20 sec,N/A,,TRUE,https://youtu.be/2Afm2uIDNRw?si=7lHWomf4tPBfZfQU&t=65
Wall Slides/Wall Angels,3 x 12,N/A,,TRUE,https://youtu.be/ywYi4rBhRBQ?feature=shared&t=23
Standing chest opener (hands clasped behind back) - 30 sec,,,,TRUE,
Romanian Deadlifts,3 x 12,115,,TRUE,https://youtu.be/TIvKHlZZJGs?si=zd2hI_nRzJ9MSCFO&t=20
Standing Calf Raises (2 sec hold),3 x 20,Bodyweight,,TRUE,
Standing hamstring stretch - 30 sec each leg,,,,TRUE,https://youtu.be/tJNsKOVTCfo?si=elax2YjVjqPtS-F7
Face Pulls,3 x 15,42.5,,TRUE,
Single-Leg Calf Raises,3 x 15 each,,,TRUE,
Doorway pec stretch - 30 sec each side,,,,TRUE,
Reverse Flyes,3 x 12,15,,TRUE,https://youtu.be/xvEkgGUrGPM?si=-2VnHUyk5V0BSy2q
Brugger's Relief Position Holds,3 x 30 sec,Bodyweight,,TRUE,https://youtu.be/eb5LHGpAJIk?si=q6EwhHuQHFjlYb-P
Lat stretch (overhead side bend) - 30 sec each side,,,,TRUE,https://youtu.be/gvje071zBXE?si=oIwdjM5xVwuCzIYt
Farmer's Carries,3 x 40 sec,53,,TRUE,
Planks (neutral neck),3 x 30-45 sec,Bodyweight,,TRUE,
Neck Extensor Stretch,2 x 30 sec,Bodyweight,,TRUE,https://youtu.be/546qSXZ_ddk?si=bHc_0JLWNwUbuxMS
,,,,,
DAY 2: Lower Body & Glute Focus,,,,,
Goblet Squats (chest up),4 x 15,40,,TRUE,https://youtu.be/MeIiIdhvXT4?si=cB89Of7Y5Y28W8mp
Goblet Squats (chest up),4 x 15,40,,TRUE,
Goblet Squats (chest up),4 x 15,40,,TRUE,
Goblet Squats (chest up),4 x 15,40,,TRUE,
Walking Lunges,4 x 12 each leg,Bodyweight,,TRUE,https://youtu.be/L8fvypPrzzs?si=faPr8kKlu4lwFfJM
Walking Lunges,4 x 12 each leg,Bodyweight,,TRUE,
Walking Lunges,4 x 12 each leg,Bodyweight,,TRUE,
Walking Lunges,4 x 12 each leg,Bodyweight,,TRUE,
Hip flexor stretch - 30 sec each side,,,,TRUE,https://www.facebook.com/share/v/1Gb3eVwwBK/
Bulgarian Split Squats,4 x 12 each leg,20,"18"" box",TRUE,https://youtu.be/o7yFuIR9XVU?si=TnxZXpF8ToZLBjIK
Bulgarian Split Squats,,20,,TRUE,
Bulgarian Split Squats,,20,,TRUE,
Bulgarian Split Squats,,20,,FALSE,
Lateral Lunges,4 x 10 each side,,,TRUE,https://youtu.be/gwWv7aPcD88?si=HLlvaWT8TxJ6w-TK
Lateral Lunges,4 x 10 each side,,,TRUE,
Lateral Lunges,4 x 10 each side,,,TRUE,
Lateral Lunges,4 x 10 each side,,,FALSE,
Upper trap stretch - 30 sec each side,,,,TRUE,https://youtu.be/yho44869qPw?si=HFLXdedAmxWOuUn7
Seated Calf Raises (soleus),3 x 20,,,TRUE,
Seated Calf Raises (soleus),3 x 20,,,TRUE,
Seated Calf Raises (soleus),3 x 20,,,TRUE,
Figure-4 stretch - 30 sec each side,,,,FALSE,https://youtu.be/Xb5gHdYtHnk?si=plxyZkHd8mSDW08P&t=29
Lateral Band Walks,3 x 15 each direction,,red band,TRUE,https://youtu.be/6eoK_yxY8Ak?si=-WUjn3b0iVDCu0WF&t=6
Lateral Band Walks,3 x 15 each direction,,sucks. use machine instead ,TRUE,
Lateral Band Walks,3 x 15 each direction,,blue ,TRUE,
Spinal rotations (seated) - 8 each side,,,,TRUE,https://youtube.com/shorts/bZxRIqJmJOo?si=ybie3Vtw9jGnEJLg
Wall Sit,3 x 60 sec,Bodyweight,,TRUE,
Wall Sit,3 x 60 sec,Bodyweight,,TRUE,
Wall Sit,3 x 60 sec,Bodyweight,,TRUE,
Calf Raises on Stairs (full ROM),3 x 15,,,TRUE,https://youtu.be/__qfDhdByMY?si=0C-x54kcMFEsHPu7
Calf Raises on Stairs (full ROM),3 x 15,,,TRUE,
Calf Raises on Stairs (full ROM),3 x 15,,,TRUE,
